"Powertrain","Year","chemistry","MWh","unit","share_units","kwh_veh","kwh_veh_total"
"BEV","2022","NMC 111",10193.8305032684,169629.253145535,0.0220749867222248,1.30154355818758,58.9601060496766
"BEV","2022","LMO",0.7991,131,1.70479042204494e-05,0.00100514624076243,58.9601060496766
"BEV","2022","LFP",120578.12746,2653978,0.345379868299084,20.3636336623373,58.9601060496766
"BEV","2022","NMC 622",97786.6101965543,1635797.22846457,0.212877209732372,12.5512628613799,58.9601060496766
"BEV","2022","NMC 532",58321.0387106752,952337.557423008,0.12393404171362,7.30716424260007,58.9601060496766
"BEV","2022","NMC 811",67375.5252795022,1033757.96096688,0.134529822180844,7.93189258262669,58.9601060496766
"BEV","2022","NMC 721",31176.768,411333,0.0535295082954972,3.15610548588955,58.9601060496766
"BEV","2022","NMCA 89:4:4:3",24888.225,311108,0.040486560200119,2.38709188298563,58.9601060496766
"BEV","2022","NCA",42742.0325,516157,0.0671709549520193,3.9604066274291,58.9601060496766
"PHEV","2022","NMC 111",5415.93335076007,356787.958523008,0.124738168099098,2.30049053650697,18.4425550861013
"PHEV","2022","LMO",539.3454,39083,0.0136639752193393,0.251998615677787,18.4425550861013
"PHEV","2022","LFP",16891.771,960467,0.335792986387768,6.19288064898286,18.4425550861013
"PHEV","2022","NMC 622",14138.3609106849,781855.208224617,0.273347751971254,5.04123097339179,18.4425550861013
"PHEV","2022","NMC 532",4833.39238589531,273915.11990947,0.0957646396296431,1.76614464167033,18.4425550861013
"PHEV","2022","NMC 811",10912.7738526597,445962.713342904,0.155914936516305,2.87546980544793,18.4425550861013
"PHEV","2022","NCA",19.5712,2224,0.000777542176593673,0.0143398644235959,18.4425550861013
