"Powertrain","Year","Country","chemistry","MWh","chem_share_mwh"
"BEV","2022","Costa Rica","NMC 532",14.6046910722548,0.145367752582482
"BEV","2022","Costa Rica","NMC 811",6.2395761788799,0.0621056044050188
"BEV","2022","Costa Rica","NCA",4.357,0.0433673875652949
"BEV","2022","Croatia","NMC 111",1.30175299369636,0.0159088719630087
"BEV","2022","Croatia","LFP",4.773,0.0583313779550654
"BEV","2022","Croatia","NMC 622",17.5696213939028,0.214720349058276
"BEV","2022","Croatia","NMC 532",23.2328279933741,0.283931043504406
"BEV","2022","Croatia","NMC 811",5.81939761902666,0.071119522729154
"BEV","2022","Croatia","NMC 721",18.409,0.224978490839053
"BEV","2022","Croatia","NMCA 89:4:4:3",10.72,0.131010343951037
"BEV","2022","Cyprus","NMC 111",0.465550334430618,0.0211394706590723
"BEV","2022","Cyprus","NMC 622",9.8791610295754,0.448587873911374
"BEV","2022","Cyprus","NMC 532",6.89866432800844,0.313251009318
"BEV","2022","Cyprus","NMC 811",1.97642430798554,0.0897444606492151
"BEV","2022","Cyprus","NMC 721",2.643,0.120011987576512
"BEV","2022","Cyprus","NMCA 89:4:4:3",0.16,0.00726519788582742
"BEV","2022","Czechia","NMC 111",5.37219681665338,0.018582441400707
"BEV","2022","Czechia","LFP",3.4768,0.0120262593622222
"BEV","2022","Czechia","NMC 622",67.2802359082132,0.232722493955266
"BEV","2022","Czechia","NMC 532",32.7996092611614,0.113453925435537
"BEV","2022","Czechia","NMC 811",30.6628580139719,0.106062897855218
"BEV","2022","Czechia","NMC 721",129.349,0.447418494662932
"BEV","2022","Czechia","NMCA 89:4:4:3",20.16,0.0697334873281178
"BEV","2022","Denmark","NMC 111",60.8849691622563,0.0256106823340618
"BEV","2022","Denmark","LFP",32.0612,0.0134862383893239
"BEV","2022","Denmark","NMC 622",600.369720518566,0.252539804269495
"BEV","2022","Denmark","NMC 532",336.841580891048,0.141689202504379
"BEV","2022","Denmark","NMC 811",320.65262942813,0.134879474275177
"BEV","2022","Denmark","NMC 721",805.297,0.338740512401512
"BEV","2022","Denmark","NMCA 89:4:4:3",215.52,0.0906564351199294
"BEV","2022","Denmark","NCA",5.7,0.00239765070612286
"BEV","2022","Dominican Republic","NMC 111",0.0510750135216757,0.00496404057942227
"BEV","2022","Dominican Republic","LFP",4.6254,0.449548061036058
"BEV","2022","Dominican Republic","NMC 622",0.417977805932212,0.0406237540997388
"BEV","2022","Dominican Republic","NMC 532",1.02371585042068,0.0994961464107962
"BEV","2022","Dominican Republic","NMC 811",0.21683133012543,0.0210740917606599
"BEV","2022","Dominican Republic","NCA",3.954,0.384293906113325
"BEV","2022","Ecuador","NMC 111",0.665903971323472,0.0411526868251298
"BEV","2022","Ecuador","LFP",0.8782,0.0542725244572439
"BEV","2022","Ecuador","NMC 622",6.47268693711918,0.400010316669191
"BEV","2022","Ecuador","NMC 532",4.65951338696302,0.287956677582334
"BEV","2022","Ecuador","NMC 811",3.06699570459433,0.189539511942448
"BEV","2022","Ecuador","NCA",0.438,0.0270682825236538
"BEV","2022","Egypt, Arab Rep.","NMC 111",0.0675205334034376,0.0258679539512059
"BEV","2022","Egypt, Arab Rep.","NMC 622",1.28423172804107,0.49200510613787
"BEV","2022","Egypt, Arab Rep.","NMC 532",0.971799413686571,0.372308410729665
