"chemistry","MWh_2021","perc"
"NMC 111",5397.0847,0.0634472217660568
"NMC 532",18208.5755,0.214056957044326
"NMC 622",38545.9852,0.45314013159281
"NMC 811",22912.5158,0.269355689596808
