"Powertrain","Year","Region","chemistry","MWh","chem_share_mwh"
"BEV","2011","EFTA","LFP",0.36,0.00151689377235048
"BEV","2011","EFTA","NMC 622",79.3476059276244,0.334338581340371
"BEV","2011","EFTA","NMC 532",30.365905869351,0.127949593069443
"BEV","2011","EFTA","NMC 811",38.2105287705135,0.161003647583919
"BEV","2011","European Union","NMC 111",9.00055943251105,0.0379247015301289
"BEV","2011","European Union","LMO",80.0425,0.337266582703787
"BEV","2011","European Union","LFP",0.36,0.00151689377235048
"BEV","2011","European Union","NMC 622",79.3476059276244,0.334338581340371
"BEV","2011","European Union","NMC 532",30.365905869351,0.127949593069443
"BEV","2011","European Union","NMC 811",38.2105287705135,0.161003647583919
"BEV","2011","Japan","NMC 111",4.54688170064269,0.0142489022407826
"BEV","2011","Japan","LMO",247.44,0.775421179302046
"BEV","2011","Japan","NMC 622",32.4738343904671,0.101765676364029
"BEV","2011","Japan","NMC 532",15.3401777696246,0.0480726589752073
"BEV","2011","Japan","NMC 811",19.3031061392656,0.0604915831179353
"BEV","2011","Mexico","NMC 111",1.6230433799975,0.00604112387954663
"BEV","2011","Mexico","LMO",236.256,0.879367600937671
"BEV","2011","Mexico","NMC 622",18.4205777062757,0.0685631654876641
"BEV","2011","Mexico","NMC 532",5.4757910181509,0.0203814218934859
"BEV","2011","Mexico","NMC 811",6.89038789557593,0.0256466878016329
"BEV","2011","Middle East","NMC 111",0.00304546664477072,0.0634472217660568
"BEV","2011","Middle East","NMC 622",0.0217507263164549,0.45314013159281
"BEV","2011","Middle East","NMC 532",0.0102747339381276,0.214056957044326
"BEV","2011","Middle East","NMC 811",0.0129290731006468,0.269355689596808
"BEV","2011","Other Asia Pacific","NMC 111",4.54688170064269,0.0142489022407826
"BEV","2011","Other Asia Pacific","LMO",247.44,0.775421179302046
"BEV","2011","Other Asia Pacific","NMC 622",32.4738343904671,0.101765676364029
"BEV","2011","Other Asia Pacific","NMC 532",15.3401777696246,0.0480726589752073
"BEV","2011","Other Asia Pacific","NMC 811",19.3031061392656,0.0604915831179353
"BEV","2011","Other Europe","NMC 111",0.0416213774785332,0.0634472217660568
"BEV","2011","Other Europe","NMC 622",0.297259926324883,0.45314013159281
"BEV","2011","Other Europe","NMC 532",0.140421363821078,0.214056957044326
"BEV","2011","Other Europe","NMC 811",0.176697332375506,0.269355689596808
"BEV","2011","Other Latin America and Caribbean","LMO",0.072,1
"BEV","2011","South Korea","NMC 111",4.54688170064269,0.0142489022407826
"BEV","2011","South Korea","LMO",247.44,0.775421179302046
"BEV","2011","South Korea","NMC 622",32.4738343904671,0.101765676364029
"BEV","2011","South Korea","NMC 532",15.3401777696246,0.0480726589752073
"BEV","2011","South Korea","NMC 811",19.3031061392656,0.0604915831179353
"BEV","2011","United Kingdom","NMC 111",9.00055943251105,0.0379247015301289
"BEV","2011","United Kingdom","LMO",80.0425,0.337266582703787
"BEV","2011","United Kingdom","LFP",0.36,0.00151689377235048
"BEV","2011","United Kingdom","NMC 622",79.3476059276244,0.334338581340371
"BEV","2011","United Kingdom","NMC 532",30.365905869351,0.127949593069443
"BEV","2011","United Kingdom","NMC 811",38.2105287705135,0.161003647583919
"BEV","2011","United States","NMC 111",1.6230433799975,0.00604112387954663
