"Powertrain","Year","Country","chemistry","MWh","unit","share_units","kwh_veh","kwh_veh_total"
"BEV","2022","Algeria","NMC 622",0.0533,1,1,53.3,53.3
"BEV","2022","Argentina","NMC 111",0.0879378493677547,1.64962776591748,0.0183291973990831,0.937151497240229,51.1288888888889
"BEV","2022","Argentina","LFP",0.0856,2,0.0222222222222222,1.1361975308642,51.1288888888889
"BEV","2022","Argentina","NMC 622",3.10805222238763,60.7816434214131,0.675351593571256,34.5299765886388,51.1288888888889
"BEV","2022","Argentina","NMC 532",0.946682942463436,18.5654808831525,0.206283120923916,10.5470267693721,51.1288888888889
"BEV","2022","Argentina","NMC 811",0.373326985781175,7.003247929517,0.0778138658835222,3.97853650277351,51.1288888888889
"BEV","2022","Australia","NMC 111",36.3912453361362,475.854163245426,0.0142194580381122,0.988621958825772,69.5259943224264
"BEV","2022","Australia","LFP",579.6009,10373,0.309965635738832,21.5506690305253,69.5259943224264
"BEV","2022","Australia","NMC 622",448.55261648532,6463.55098694607,0.193143612339641,13.4285016949388,69.5259943224264
"BEV","2022","Australia","NMC 532",192.154049492434,2724.42717783244,0.0814112409332868,5.66019747490939,69.5259943224264
"BEV","2022","Australia","NMC 811",162.89358868611,2090.16767197606,0.0624583197960872,4.34247678753105,69.5259943224264
"BEV","2022","Australia","NMC 721",0.075,1,2.98819662333782e-05,0.00207757341468479,69.5259943224264
"BEV","2022","Australia","NMCA 89:4:4:3",906.72,11334,0.338682205289108,23.5472170820374,69.5259943224264
"BEV","2022","Australia","NCA",0.3,3,8.96458987001345e-05,0.00623272024405436,69.5259943224264
"BEV","2022","Austria","NMC 111",55.3277729363775,799.308099808783,0.0223189372520812,1.56775468149796,70.2432496579454
"BEV","2022","Austria","LFP",20.4602,374,0.010443135174378,0.733559751265507,70.2432496579454
"BEV","2022","Austria","NMC 622",609.835018614654,9048.65937780622,0.252664099008914,17.747947386283,70.2432496579454
"BEV","2022","Austria","NMC 532",389.438724354536,6311.68954484442,0.176240179399783,12.37968292134,70.2432496579454
"BEV","2022","Austria","NMC 811",264.313784094432,3711.34297754058,0.103631166826029,7.27938992370496,70.2432496579454
"BEV","2022","Austria","NMC 721",785.286,10681,0.298243654538855,20.9496034846708,70.2432496579454
"BEV","2022","Austria","NMCA 89:4:4:3",390.96,4887,0.136458827799961,9.58531150918324,70.2432496579454
"BEV","2022","Azerbaijan","NMC 622",0.27,3,0.6,61.2,102
"BEV","2022","Azerbaijan","NMC 811",0.24,2,0.4,40.8,102
"BEV","2022","Bahamas, The","LFP",6.6603,101,0.808,50.390112,62.364
"BEV","2022","Bahamas, The","NMC 532",1.1352,24,0.192,11.973888,62.364
"BEV","2022","Bahrain","NMC 111",0.320275230752878,3.48959719713312,0.0298256170695139,2.59770927883305,87.0965811965812
"BEV","2022","Bahrain","NMC 622",5.40180607026735,60.9227072376045,0.520706899466706,45.351790749022,87.0965811965812
"BEV","2022","Bahrain","NMC 532",2.03653811346405,27.7731326374379,0.237377202029384,20.6747427507695,87.0965811965812
"BEV","2022","Bahrain","NMC 811",2.43168058551572,24.8145629278244,0.212090281434397,18.4723384179567,87.0965811965812
"BEV","2022","Belarus","NMC 111",0.0320725706027417,0.444130552362397,0.0370108793635331,2.89764343016995,78.2916666666667
"BEV","2022","Belarus","NMC 622",0.663062336520165,8.17198092114967,0.680998410095806,53.3165005237508,78.2916666666667
"BEV","2022","Belarus","NMC 532",0.108205791785907,1.49839869931028,0.124866558275857,9.77601095834728,78.2916666666667
"BEV","2022","Belarus","NMC 811",0.136159301091186,1.88548982717765,0.157124152264804,12.3015117543986,78.2916666666667
"BEV","2022","Belgium","NMC 111",88.9857944402203,1196.80494417313,0.0299014352073236,2.18274052220389,72.9978513429107
"BEV","2022","Belgium","LMO",0.0122,2,4.99687695190506e-05,0.00364761280913982,72.9978513429107
"BEV","2022","Belgium","LFP",42.0637,757,0.0189131792629606,1.38062144825942,72.9978513429107
"BEV","2022","Belgium","NMC 622",952.753947313127,12724.5823022352,0.31791586014329,23.2071746982935,72.9978513429107
"BEV","2022","Belgium","NMC 532",521.338478411545,8310.75638072712,0.207639135058766,15.1572107139904,72.9978513429107
"BEV","2022","Belgium","NMC 811",468.723879835108,5984.85637286458,0.149527954350146,10.9152193832615,72.9978513429107
"BEV","2022","Belgium","NMC 721",504.321,6811,0.170168644597127,12.4219454215257,72.9978513429107
"BEV","2022","Belgium","NMCA 89:4:4:3",321.04,4013,0.100262336039975,7.31893510153905,72.9978513429107
"BEV","2022","Belgium","NCA",22.5,225,0.00562148657089319,0.41035644102823,72.9978513429107
"BEV","2022","Bhutan","NMC 622",0.618,13,1,47.5384615384615,47.5384615384615
"BEV","2022","Bolivia","LFP",3.3032,53,1,62.3245283018868,62.3245283018868
"BEV","2022","Bosnia and Herzegovina","NMC 111",0.135015687918169,1.77652220944959,0.0174168844063685,1.18619228033491,68.1058823529412
"BEV","2022","Bosnia and Herzegovina","NMC 622",2.6240822000295,34.6879236845987,0.34007768318234,23.1612906816773,68.1058823529412
"BEV","2022","Bosnia and Herzegovina","NMC 532",1.80551320459033,32.9935947972411,0.323466615659227,22.0299792711913,68.1058823529412
"BEV","2022","Bosnia and Herzegovina","NMC 811",0.573188907462006,7.54195930871061,0.0739407775363786,5.03580189597759,68.1058823529412
"BEV","2022","Bosnia and Herzegovina","NMC 721",1.809,25,0.245098039215686,16.6926182237601,68.1058823529412
"BEV","2022","Brazil","NMC 111",19.0542158518951,291.920667345627,0.0348520376487138,2.051946587998,58.8759431709647
