"Powertrain","Year","Region","chemistry","MWh","unit","share_units","kwh_veh","kwh_veh_total"
"BEV","2022","ASEAN","NMC 111",50.9908571267252,721.394911480065,0.021762848783639,1.16505941636085,53.5343248461446
"BEV","2022","ASEAN","LFP",500.3331,13654,0.411910220827803,22.0513355692427,53.5343248461446
"BEV","2022","ASEAN","NMC 622",474.853360861667,6857.20329621025,0.206866275377406,11.074446385766,53.5343248461446
"BEV","2022","ASEAN","NMC 532",238.112925272859,3504.82760159398,0.105732701870218,5.6603288087808,53.5343248461446
"BEV","2022","ASEAN","NMC 811",221.236056738749,3111.5741907157,0.0938691381294709,5.02522093365071,53.5343248461446
"BEV","2022","ASEAN","NMC 721",0.13,2,6.03354651864366e-05,0.00323001839303394,53.5343248461446
"BEV","2022","ASEAN","NMCA 89:4:4:3",106.465,1336,0.0403040907445396,2.15765228654667,53.5343248461446
"BEV","2022","ASEAN","NCA",182.4345,3961,0.119494388801738,6.39705142740372,53.5343248461446
"BEV","2022","Africa","NMC 111",3.20832931832202,83.6234382876628,0.0256907644508949,1.32212171936879,51.4629185867896
"BEV","2022","Africa","LFP",6.1276,115,0.0353302611367127,1.81819835252866,51.4629185867896
"BEV","2022","Africa","NMC 622",124.66919172024,2262.23869343932,0.695004206893801,35.7669449168519,51.4629185867896
"BEV","2022","Africa","NMC 532",18.8541967411647,425.127069384421,0.130607394588148,6.72143771452255,51.4629185867896
"BEV","2022","Africa","NMC 811",14.5774822202728,368.010798888592,0.113060153268385,5.81840546306083,51.4629185867896
"BEV","2022","Africa","NMC 721",0.075,1,0.000307219662058372,0.015810420456771,51.4629185867896
"BEV","2022","Australia/NZ","NMC 111",52.4086170206986,690.940245032358,0.0138734663580981,0.96136645181644,69.2953316065297
"BEV","2022","Australia/NZ","LFP",776.568,13837,0.277834668594261,19.2526454920296,69.2953316065297
"BEV","2022","Australia/NZ","NMC 622",690.452703672174,10180.6960330457,0.204419332832273,14.1653054553979,69.2953316065297
"BEV","2022","Australia/NZ","NMC 532",344.199135006493,5137.08026221271,0.10314800839734,7.14767544644677,69.2953316065297
"BEV","2022","Australia/NZ","NMC 811",231.972944300634,3012.28345970923,0.0604839760598605,4.19125717794944,69.2953316065297
"BEV","2022","Australia/NZ","NMC 721",1.614,22,0.000441740457402165,0.0306105514797031,69.2953316065297
"BEV","2022","Australia/NZ","NMCA 89:4:4:3",1353.6,16920,0.339738569965665,23.5422968652989,69.2953316065297
"BEV","2022","Australia/NZ","NCA",0.3,3,6.02373351002952e-05,0.00417416611086861,69.2953316065297
"BEV","2022","Brazil","NMC 111",25.7885293490331,396.672030481387,0.027991816419546,1.68416967890235,60.1665020111495
"BEV","2022","Brazil","LFP",159.0671,3186,0.224825347540752,13.5269547249681,60.1665020111495
"BEV","2022","Brazil","NMC 622",333.43330658274,5414.03210271825,0.382050109570125,22.9866186858109,60.1665020111495
"BEV","2022","Brazil","NMC 532",199.854220155191,3152.28409544112,0.222446129097532,13.3838054737191,60.1665020111495
"BEV","2022","Brazil","NMC 811",116.394343913036,1788.01177135924,0.126174001224983,7.59144829845775,60.1665020111495
"BEV","2022","Brazil","NCA",18.082,234,0.0165125961470609,0.99350514929144,60.1665020111495
"BEV","2022","Canada","NMC 111",1228.65667403107,13713.355618072,0.0154102905865962,1.24880054625536,81.0367941628281
"BEV","2022","Canada","LFP",4026.55,73210,0.0822692421363258,6.6668356409333,81.0367941628281
"BEV","2022","Canada","NMC 622",14457.9045938993,184511.801762207,0.20734388876089,16.8024840344366,81.0367941628281
"BEV","2022","Canada","NMC 532",4145.21710446264,46265.8425816465,0.0519909275507527,4.21317809426486,81.0367941628281
"BEV","2022","Canada","NMC 811",6686.96812760699,71984.0000380748,0.0808915329746436,6.55519050718182,81.0367941628281
"BEV","2022","Canada","NMC 721",1318.835,16457,0.01849344239636,1.49864928483594,81.0367941628281
"BEV","2022","Canada","NCA",40249.134,483741,0.543600675594432,44.0516560549203,81.0367941628281
"BEV","2022","China","NMC 111",5307.64684703274,95853.5670620485,0.0205545439745902,1.08286204465349,52.6823677524609
"BEV","2022","China","LFP",111002.32916,2475368,0.530810297089491,27.9643432780616,52.6823677524609
"BEV","2022","China","NMC 622",41151.2532605941,743484.618716217,0.159430553898338,8.39917907145079,52.6823677524609
"BEV","2022","China","NMC 532",29057.0823222862,463361.757132332,0.0993618694122738,5.2346185449494,52.6823677524609
"BEV","2022","China","NMC 811",42441.535810087,678113.057089403,0.145412477374632,7.66067360884678,52.6823677524609
"BEV","2022","China","NMC 721",9713.922,119646,0.0256565200833045,1.35164622627704,52.6823677524609
"BEV","2022","China","NMCA 89:4:4:3",7003.92,87549,0.0187737381673706,0.989044978221828,52.6823677524609
"BEV","2022","EFTA","NMC 111",2536.07472740267,41362.7666026148,0.0253310028670712,1.61507263854046,63.7587326098313
"BEV","2022","EFTA","LMO",0.6954,114,6.98148253618888e-05,0.00445130478245074,63.7587326098313
"BEV","2022","EFTA","LFP",3281.5982,59536,0.036460486339872,2.32467439936831,63.7587326098313
"BEV","2022","EFTA","NMC 622",31316.6042505868,527629.927148511,0.323126238768241,20.6021194568447,63.7587326098313
"BEV","2022","EFTA","NMC 532",20284.9866619031,361431.867664165,0.221344760712237,14.1126614128386,63.7587326098313
"BEV","2022","EFTA","NMC 811",12855.3124101074,198131.438584709,0.121337822662204,7.7363457905786,63.7587326098313
"BEV","2022","EFTA","NMC 721",19281.149,263550,0.161400852843209,10.2907138194289,63.7587326098313
