Mineral,Year,Scenario,Demand
Copper,2032,Ambitious-Baseline-High Capacity-Baseline-Baseline,29391.35155
Copper,2032,Ambitious-Baseline-Low Capacity-Baseline-Baseline,27463.70781
Copper,2032,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,27450.95817
Copper,2032,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,28463.85892
Copper,2032,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,29672.97187
Copper,2033,Ambitious-Baseline-Baseline-Baseline-Baseline,28702.28845
Copper,2033,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,28639.82072
Copper,2033,Ambitious-Baseline-High Capacity-Baseline-Baseline,30160.79038
Copper,2033,Ambitious-Baseline-Low Capacity-Baseline-Baseline,27830.64784
Copper,2033,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,27814.57392
Copper,2033,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29101.64527
Copper,2033,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30560.1472
Copper,2034,Ambitious-Baseline-Baseline-Baseline-Baseline,29222.61112
Copper,2034,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,29141.26174
Copper,2034,Ambitious-Baseline-High Capacity-Baseline-Baseline,30954.95267
Copper,2034,Ambitious-Baseline-Low Capacity-Baseline-Baseline,28186.40284
Copper,2034,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,28166.23759
Copper,2034,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29742.822
Copper,2034,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,31475.16355
Copper,2035,Ambitious-Baseline-Baseline-Baseline-Baseline,29694.81424
Copper,2035,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,29588.14019
Copper,2035,Ambitious-Baseline-High Capacity-Baseline-Baseline,31729.82494
Copper,2035,Ambitious-Baseline-Low Capacity-Baseline-Baseline,28474.98797
Copper,2035,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,28448.394
Copper,2035,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,30338.99674
Copper,2035,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,32374.00744
Copper,2036,Ambitious-Baseline-Baseline-Baseline-Baseline,29782.10348
Copper,2036,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,29646.39328
Copper,2036,Ambitious-Baseline-High Capacity-Baseline-Baseline,31889.41801
Copper,2036,Ambitious-Baseline-Low Capacity-Baseline-Baseline,28526.92242
Copper,2036,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,28494.88945
Copper,2036,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,30553.37516
Copper,2036,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,32660.68969
Copper,2037,Ambitious-Baseline-Baseline-Baseline-Baseline,29880.60507
Copper,2037,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,29708.62667
Copper,2037,Ambitious-Baseline-High Capacity-Baseline-Baseline,32084.56643
Copper,2037,Ambitious-Baseline-Low Capacity-Baseline-Baseline,28567.14352
Copper,2037,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,28525.73987
Copper,2037,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,30782.08349
Copper,2037,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,32986.04485
Copper,2038,Ambitious-Baseline-Baseline-Baseline-Baseline,29968.30605
Copper,2038,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,29752.96582
Copper,2038,Ambitious-Baseline-High Capacity-Baseline-Baseline,32268.31012
Copper,2038,Ambitious-Baseline-Low Capacity-Baseline-Baseline,28597.71567
Copper,2038,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,28545.53984
Copper,2038,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,31003.10877
Copper,2038,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,33303.11284
Copper,2039,Ambitious-Baseline-Baseline-Baseline-Baseline,30019.32254
Copper,2039,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,29751.98739
Copper,2039,Ambitious-Baseline-High Capacity-Baseline-Baseline,32429.968
Copper,2039,Ambitious-Baseline-Low Capacity-Baseline-Baseline,28594.28546
Copper,2039,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,28529.21015
Copper,2039,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,31190.56712
Copper,2039,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,33601.21258
Copper,2040,Ambitious-Baseline-Baseline-Baseline-Baseline,30050.54234
Copper,2040,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,29728.1734
Copper,2040,Ambitious-Baseline-High Capacity-Baseline-Baseline,32546.65039
Copper,2040,Ambitious-Baseline-Low Capacity-Baseline-Baseline,28574.2267
Copper,2040,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,28497.62813
Copper,2040,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,31361.34634
Copper,2040,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,33857.45439
Copper,2041,Ambitious-Baseline-Baseline-Baseline-Baseline,29869.02037
Copper,2041,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,29468.27902
Copper,2041,Ambitious-Baseline-High Capacity-Baseline-Baseline,32367.63556
Copper,2041,Ambitious-Baseline-Low Capacity-Baseline-Baseline,28371.44268
Copper,2041,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,28279.33571
Copper,2041,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,31409.93453
Copper,2041,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,33908.54972
Copper,2042,Ambitious-Baseline-Baseline-Baseline-Baseline,29662.87523
Copper,2042,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,29190.70743
Copper,2042,Ambitious-Baseline-High Capacity-Baseline-Baseline,32175.84944
Copper,2042,Ambitious-Baseline-Low Capacity-Baseline-Baseline,28157.22031
Copper,2042,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,28046.63653
