"t","Region","Scenario","Demand"
2022,"China","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",231937.908883001
2022,"China","Ambitious-Double LFP-Baseline-Baseline-Baseline",231882.491027332
2022,"China","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",231882.491027332
2022,"China","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",231882.491027332
2022,"China","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",231882.491027332
2022,"EFTA","Ambitious-Baseline-Baseline-Baseline-Baseline",9162.14753332305
2022,"EFTA","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",9159.12356628072
2022,"EFTA","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",9165.17150036537
2022,"EFTA","Ambitious-Baseline-Baseline-Baseline-USA Recycling",9162.14753332305
2022,"EFTA","Ambitious-Baseline-High Capacity-Baseline-Baseline",9162.14753332305
2022,"EFTA","Ambitious-Baseline-Low Capacity-Baseline-Baseline",9162.14753332305
2022,"EFTA","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",9165.17150036537
2022,"EFTA","Ambitious-Double LFP-Baseline-Baseline-Baseline",9162.14753332305
2022,"EFTA","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",9162.14753332305
2022,"EFTA","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",9162.14753332305
2022,"EFTA","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",9162.14753332305
2022,"European Union","Ambitious-Baseline-Baseline-Baseline-Baseline",52697.9854294786
2022,"European Union","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",52686.3899521502
2022,"European Union","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",52709.5809068069
2022,"European Union","Ambitious-Baseline-Baseline-Baseline-USA Recycling",52697.9854294786
2022,"European Union","Ambitious-Baseline-High Capacity-Baseline-Baseline",52697.9854294786
2022,"European Union","Ambitious-Baseline-Low Capacity-Baseline-Baseline",52697.9854294786
2022,"European Union","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",52709.5809068069
2022,"European Union","Ambitious-Double LFP-Baseline-Baseline-Baseline",52697.9854294786
2022,"European Union","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",52697.9854294786
2022,"European Union","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",52697.9854294786
2022,"European Union","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",52697.9854294786
2022,"India","Ambitious-Baseline-Baseline-Baseline-Baseline",3578.85483848186
2022,"India","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",3577.84486209825
2022,"India","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",3579.86481486548
2022,"India","Ambitious-Baseline-Baseline-Baseline-USA Recycling",3578.85483848186
2022,"India","Ambitious-Baseline-High Capacity-Baseline-Baseline",3578.85483848186
2022,"India","Ambitious-Baseline-Low Capacity-Baseline-Baseline",3578.85483848186
2022,"India","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",3579.86481486548
2022,"India","Ambitious-Double LFP-Baseline-Baseline-Baseline",3578.85483848186
2022,"India","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",3578.85483848186
2022,"India","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",3578.85483848186
2022,"India","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",3578.85483848186
2022,"Japan","Ambitious-Baseline-Baseline-Baseline-Baseline",3333.25938894169
2022,"Japan","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",3332.35650722773
2022,"Japan","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",3334.16227065565
2022,"Japan","Ambitious-Baseline-Baseline-Baseline-USA Recycling",3333.25938894169
2022,"Japan","Ambitious-Baseline-High Capacity-Baseline-Baseline",3333.25938894169
2022,"Japan","Ambitious-Baseline-Low Capacity-Baseline-Baseline",3333.25938894169
2022,"Japan","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",3334.16227065565
2022,"Japan","Ambitious-Double LFP-Baseline-Baseline-Baseline",3333.25938894169
2022,"Japan","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",3333.25938894169
2022,"Japan","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",3333.25938894169
2022,"Japan","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",3333.25938894169
2022,"Mexico","Ambitious-Baseline-Baseline-Baseline-Baseline",1299.78560325724
2022,"Mexico","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1299.78560325724
2022,"Mexico","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1299.78560325724
2022,"Mexico","Ambitious-Baseline-Baseline-Baseline-USA Recycling",1299.78560325724
2022,"Mexico","Ambitious-Baseline-High Capacity-Baseline-Baseline",1299.78560325724
2022,"Mexico","Ambitious-Baseline-Low Capacity-Baseline-Baseline",1299.78560325724
2022,"Mexico","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",1299.78560325724
2022,"Mexico","Ambitious-Double LFP-Baseline-Baseline-Baseline",1299.78560325724
2022,"Mexico","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1299.78560325724
2022,"Mexico","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1299.78560325724
2022,"Mexico","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1299.78560325724
2022,"Middle East","Ambitious-Baseline-Baseline-Baseline-Baseline",4822.57179451724
2022,"Middle East","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",4822.23110446663
2022,"Middle East","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",4822.91248456786
2022,"Middle East","Ambitious-Baseline-Baseline-Baseline-USA Recycling",4822.57179451724
2022,"Middle East","Ambitious-Baseline-High Capacity-Baseline-Baseline",4822.57179451724
2022,"Middle East","Ambitious-Baseline-Low Capacity-Baseline-Baseline",4822.57179451724
2022,"Middle East","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",4822.91248456786
2022,"Middle East","Ambitious-Double LFP-Baseline-Baseline-Baseline",4822.57179451724
2022,"Middle East","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",4822.57179451724
2022,"Middle East","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",4822.57179451724
2022,"Middle East","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",4822.57179451724
2022,"Other Asia Pacific","Ambitious-Baseline-Baseline-Baseline-Baseline",1094.55634895439
2022,"Other Asia Pacific","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1094.45063403664
2022,"Other Asia Pacific","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1094.66206387213
2022,"Other Asia Pacific","Ambitious-Baseline-Baseline-Baseline-USA Recycling",1094.55634895439
2022,"Other Asia Pacific","Ambitious-Baseline-High Capacity-Baseline-Baseline",1094.55634895439
2022,"Other Asia Pacific","Ambitious-Baseline-Low Capacity-Baseline-Baseline",1094.55634895439
2022,"Other Asia Pacific","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",1094.66206387213
2022,"Other Asia Pacific","Ambitious-Double LFP-Baseline-Baseline-Baseline",1094.55634895439
2022,"Other Asia Pacific","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1094.55634895439
2022,"Other Asia Pacific","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1094.55634895439
2022,"Other Asia Pacific","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1094.55634895439
2022,"Other Europe","Ambitious-Baseline-Baseline-Baseline-Baseline",3096.25048266162
2022,"Other Europe","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",3096.07740136931
2022,"Other Europe","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",3096.42356395392
2022,"Other Europe","Ambitious-Baseline-Baseline-Baseline-USA Recycling",3096.25048266162
2022,"Other Europe","Ambitious-Baseline-High Capacity-Baseline-Baseline",3096.25048266162
2022,"Other Europe","Ambitious-Baseline-Low Capacity-Baseline-Baseline",3096.25048266162
2022,"Other Europe","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",3096.42356395392
2022,"Other Europe","Ambitious-Double LFP-Baseline-Baseline-Baseline",3096.25048266162
2022,"Other Europe","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",3096.25048266162
2022,"Other Europe","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",3096.25048266162
2022,"Other Europe","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",3096.25048266162
2022,"Other Latin America and Caribbean","Ambitious-Baseline-Baseline-Baseline-Baseline",7385.72190204623
2022,"Other Latin America and Caribbean","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",7385.24683023363
2022,"Other Latin America and Caribbean","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",7386.19697385883
2022,"Other Latin America and Caribbean","Ambitious-Baseline-Baseline-Baseline-USA Recycling",7385.72190204623
2022,"Other Latin America and Caribbean","Ambitious-Baseline-High Capacity-Baseline-Baseline",7385.72190204623
2022,"Other Latin America and Caribbean","Ambitious-Baseline-Low Capacity-Baseline-Baseline",7385.72190204623
2022,"Other Latin America and Caribbean","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",7386.19697385883
2022,"Other Latin America and Caribbean","Ambitious-Double LFP-Baseline-Baseline-Baseline",7385.72190204623
