"Region","Country","Powertrain","kwh_veh","Vehicle"
"Middle East","United Arab Emirates","BEV",80.8368588177821,"Car"
"United Kingdom","United Kingdom","BEV",67.7808411593407,"Car"
"United States","United States","BEV",81.7237586145633,"Car"
"Other Latin America and Caribbean","Uruguay","BEV",57.8387426900585,"Car"
"ASEAN","Vietnam","BEV",64.0874433301278,"Car"
"Africa","Zambia","BEV",54,"Car"
"Africa","Zimbabwe","BEV",56.6963302752294,"Car"
"Other Latin America and Caribbean","Argentina","PHEV",13.1609756097561,"Car"
"Australia/NZ","Australia","PHEV",15.4126309261301,"Car"
"European Union","Austria","PHEV",14.7670961422544,"Car"
"Middle East","Bahrain","PHEV",16.4567567567568,"Car"
"Other Europe","Belarus","PHEV",15.9227272727273,"Car"
"European Union","Belgium","PHEV",15.3016963416445,"Car"
"Other Europe","Bosnia and Herzegovina","PHEV",16.0333333333333,"Car"
"Brazil","Brazil","PHEV",16.9922955974843,"Car"
"European Union","Bulgaria","PHEV",17.5912280701754,"Car"
"Canada","Canada","PHEV",15.4422187554169,"Car"
"Other Latin America and Caribbean","Chile","PHEV",14.0433386837881,"Car"
"China","China","PHEV",21.4208942599183,"Car"
"Other Latin America and Caribbean","Colombia","PHEV",18.4377304383449,"Car"
"Other Latin America and Caribbean","Costa Rica","PHEV",14.6184615384615,"Car"
"European Union","Croatia","PHEV",13.4906493506494,"Car"
"European Union","Cyprus","PHEV",13.1766497461929,"Car"
"European Union","Czechia","PHEV",15.6740875912409,"Car"
"European Union","Denmark","PHEV",14.5409301197627,"Car"
"Other Latin America and Caribbean","Dominican Republic","PHEV",12,"Car"
"Other Latin America and Caribbean","Ecuador","PHEV",12.4592592592593,"Car"
"Middle East","Egypt, Arab Rep.","PHEV",15.55,"Car"
"European Union","Estonia","PHEV",17.1407854984894,"Car"
"Other Asia Pacific","Fiji","PHEV",8.9,"Car"
"European Union","Finland","PHEV",15.4163038773112,"Car"
"European Union","France","PHEV",14.2806443337622,"Car"
"Other Europe","Georgia","PHEV",17.3705882352941,"Car"
"European Union","Germany","PHEV",14.6549701151214,"Car"
"European Union","Greece","PHEV",13.9865741608851,"Car"
"European Union","Hungary","PHEV",14.1254686226569,"Car"
"EFTA","Iceland","PHEV",14.5266825491364,"Car"
"India","India","PHEV",17.5391304347826,"Car"
"ASEAN","Indonesia","PHEV",13.5379746835443,"Car"
"Middle East","Iraq","PHEV",13.1,"Car"
"European Union","Ireland","PHEV",15.4276986266205,"Car"
"Middle East","Israel","PHEV",15.4071904497501,"Car"
"European Union","Italy","PHEV",13.999160749787,"Car"
"Other Latin America and Caribbean","Jamaica","PHEV",14.95,"Car"
"Japan","Japan","PHEV",13.9133484223496,"Car"
"Middle East","Jordan","PHEV",15.5582524271845,"Car"
"Other Asia Pacific","Kazakhstan","PHEV",19.3927536231884,"Car"
"South Korea","Korea, Rep.","PHEV",16.7179483151363,"Car"
"Middle East","Kuwait","PHEV",17.7614457831325,"Car"
"European Union","Latvia","PHEV",15.4388888888889,"Car"
"Middle East","Lebanon","PHEV",16.5405063291139,"Car"
"European Union","Lithuania","PHEV",14.8925035360679,"Car"
"European Union","Luxembourg","PHEV",16.1225455465587,"Car"
"Other Europe","Macedonia, FYR","PHEV",13.303125,"Car"
"Africa","Madagascar","PHEV",13.2,"Car"
"ASEAN","Malaysia","PHEV",15.6788090128755,"Car"
"European Union","Malta","PHEV",12.4356435643564,"Car"
"Africa","Mauritius","PHEV",15.45,"Car"
"Mexico","Mexico","PHEV",16.6363745498199,"Car"
"Other Europe","Moldova","PHEV",16.9636363636364,"Car"
"Africa","Morocco","PHEV",19.0225,"Car"
"Other Asia Pacific","Nepal","PHEV",15.6875,"Car"
"European Union","Netherlands","PHEV",15.2699171752398,"Car"
"Australia/NZ","New Zealand","PHEV",13.9731263676149,"Car"
"EFTA","Norway","PHEV",16.7828042656085,"Car"
"Middle East","Oman","PHEV",16.9587301587302,"Car"
"Other Latin America and Caribbean","Panama","PHEV",14.196875,"Car"
"Other Latin America and Caribbean","Paraguay","PHEV",16.6625,"Car"
"Other Latin America and Caribbean","Peru","PHEV",17,"Car"
"ASEAN","Philippines","PHEV",21.3788461538462,"Car"
"European Union","Poland","PHEV",15.6908451360417,"Car"
"European Union","Portugal","PHEV",14.4757043131389,"Car"
"Middle East","Qatar","PHEV",15.2930555555556,"Car"
"European Union","Romania","PHEV",15.5320102626019,"Car"
"Other Europe","Russian Federation","PHEV",18.0945945945946,"Car"
"Africa","Rwanda","PHEV",13.8,"Car"
"Middle East","Saudi Arabia","PHEV",17.3588235294118,"Car"
"Other Europe","Serbia","PHEV",13.5690789473684,"Car"
"ASEAN","Singapore","PHEV",14.5580284552846,"Car"
"European Union","Slovak Republic","PHEV",15.7835766423358,"Car"
"European Union","Slovenia","PHEV",17.0431309904153,"Car"
"Africa","South Africa","PHEV",16.7156028368794,"Car"
"European Union","Spain","PHEV",14.2759674325508,"Car"
"European Union","Sweden","PHEV",15.1038059578051,"Car"
"EFTA","Switzerland","PHEV",15.1182219316882,"Car"
"ASEAN","Thailand","PHEV",16.1078285609398,"Car"
"Africa","Tunisia","PHEV",17.1625,"Car"
"Middle East","Turkey","PHEV",14.6053406998158,"Car"
"Other Europe","Ukraine","PHEV",17.7979797979798,"Car"
"Middle East","United Arab Emirates","PHEV",16.4714285714286,"Car"
"United Kingdom","United Kingdom","PHEV",15.4051939098803,"Car"
"United States","United States","PHEV",16.554083546417,"Car"
"Other Latin America and Caribbean","Uruguay","PHEV",16.4111888111888,"Car"
"ASEAN","Vietnam","PHEV",18.8,"Car"
"Other Asia Pacific","Afghanistan","BEV",67.447647893386,"Car"
"Other Europe","Albania","BEV",78.9515816505194,"Car"
"Africa","Angola","BEV",51.4629185867896,"Car"
"Other Latin America and Caribbean","Antigua and Barbuda","BEV",66.5960327930645,"Car"
"Other Europe","Armenia","BEV",78.9515816505194,"Car"
"Other Latin America and Caribbean","Aruba","BEV",66.5960327930645,"Car"
"Other Asia Pacific","Bangladesh","BEV",67.447647893386,"Car"
"Other Latin America and Caribbean","Barbados","BEV",66.5960327930645,"Car"
"Other Latin America and Caribbean","Belize","BEV",66.5960327930645,"Car"
"Africa","Benin","BEV",51.4629185867896,"Car"
"Other Latin America and Caribbean","Bermuda","BEV",66.5960327930645,"Car"
"Africa","Botswana","BEV",51.4629185867896,"Car"
"ASEAN","Brunei Darussalam","BEV",53.5343248461446,"Car"
"Africa","Burkina Faso","BEV",51.4629185867896,"Car"
"Africa","Burundi","BEV",51.4629185867896,"Car"
"Africa","Cabo Verde","BEV",51.4629185867896,"Car"
"Africa","Cameroon","BEV",51.4629185867896,"Car"
"Other Latin America and Caribbean","Cayman Islands","BEV",66.5960327930645,"Car"
"Africa","Central African Republic","BEV",51.4629185867896,"Car"
"Africa","Chad","BEV",51.4629185867896,"Car"
"Africa","Comoros","BEV",51.4629185867896,"Car"
"Africa","Congo, Dem. Rep.","BEV",51.4629185867896,"Car"
"Africa","Congo, Rep.","BEV",51.4629185867896,"Car"
"Africa","Cote d'Ivoire","BEV",51.4629185867896,"Car"
"Other Latin America and Caribbean","Cuba","BEV",66.5960327930645,"Car"
"Africa","Djibouti","BEV",51.4629185867896,"Car"
"Other Latin America and Caribbean","Dominica","BEV",66.5960327930645,"Car"
